Week,FIPS,County,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
"2015-12-29","01001","Autauga County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01003","Baldwin County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01005","Barbour County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01007","Bibb County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01009","Blount County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01011","Bullock County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01013","Butler County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01015","Calhoun County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01017","Chambers County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01019","Cherokee County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01021","Chilton County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01023","Choctaw County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01025","Clarke County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01027","Clay County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01029","Cleburne County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01031","Coffee County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
"2015-12-29","01033","Colbert County","AL","100.00","0.00","0.00","0.00","0.00","0.00","2015-12-29","2016-01-04"
